Au (Gold) - Palik

wavelength (microns), Im(index)
0.7828, 4.9442
0.782313, 4.93845
0.781827, 4.9327
0.781342, 4.92695
0.780857, 4.92121
0.780373, 4.91546
0.779889, 4.90973
0.779406, 4.90399
0.778924, 4.89826
0.778442, 4.89253
0.777961, 4.88681
0.777481, 4.88109
0.777, 4.87537
0.776521, 4.86966
0.776042, 4.86394
0.775564, 4.85824
0.775086, 4.85253
0.7749, 4.85031
0.774609, 4.84683
0.774133, 4.84114
0.773657, 4.83544
0.773182, 4.82975
0.772707, 4.82407
0.772233, 4.81839
0.771759, 4.81271
0.771286, 4.80704
0.770814, 4.80137
0.770342, 4.7957
0.769871, 4.79004
0.7694, 4.78438
0.76893, 4.77873
0.768461, 4.77308
0.767992, 4.76744
0.767523, 4.7618
0.767055, 4.75616
0.766588, 4.75053
0.766122, 4.7449
0.765656, 4.73928
0.76519, 4.73366
0.764725, 4.72805
0.764261, 4.72244
0.763797, 4.71683
0.763334, 4.71124
0.762871, 4.70564
0.762409, 4.70005
0.761947, 4.69447
0.761486, 4.68889
0.761026, 4.68331
0.760566, 4.67774
0.760106, 4.67218
0.759648, 4.66662
0.759189, 4.66107
0.758732, 4.65552
0.758274, 4.64998
0.757818, 4.64444
0.757362, 4.63891
0.756906, 4.63338
0.756451, 4.62786
0.755997, 4.62234
0.755543, 4.61683
0.75509, 4.61133
0.754637, 4.60583
0.754185, 4.60034
0.753733, 4.59485
0.753282, 4.58937
0.752831, 4.5839
0.752381, 4.57843
0.751932, 4.57297
0.751483, 4.56751
0.751034, 4.56206
0.750586, 4.55662
0.750139, 4.55118
0.749692, 4.54575
0.749246, 4.54032
0.7488, 4.5349
0.748355, 4.52949
0.74791, 4.52409
0.747466, 4.51869
0.747022, 4.5133
0.746579, 4.50791
0.746137, 4.50253
0.745694, 4.49716
0.745253, 4.49179
0.744812, 4.48644
0.744371, 4.48108
0.743931, 4.47574
0.743492, 4.4704
0.743053, 4.46507
0.742614, 4.45975
0.742176, 4.45443
0.741739, 4.44912
0.741302, 4.44382
0.740866, 4.43853
0.74043, 4.43324
0.739994, 4.42796
0.73956, 4.42269
0.739125, 4.41742
0.738691, 4.41216
0.738258, 4.40691
0.737825, 4.40167
0.737393, 4.39644
0.736961, 4.39121
0.73653, 4.38599
0.736099, 4.38078
0.735669, 4.37557
0.735239, 4.37038
0.73481, 4.36519
0.734381, 4.36001
0.733953, 4.35484
0.733525, 4.34967
0.733098, 4.34452
0.732671, 4.33937
0.732245, 4.33423
0.731819, 4.32909
0.731393, 4.32397
0.730969, 4.31885
0.730544, 4.31375
0.730121, 4.30865
0.729697, 4.30355
0.7293, 4.29878
0.729274, 4.29847
0.728852, 4.2934
0.72843, 4.28833
0.728009, 4.28327
0.727588, 4.27822
0.727168, 4.27318
0.726748, 4.26815
0.726328, 4.26313
0.725909, 4.25811
0.725491, 4.2531
0.725073, 4.2481
0.724655, 4.24311
0.724238, 4.23813
0.723822, 4.23316
0.723406, 4.2282
0.72299, 4.22324
0.722575, 4.2183
0.72216, 4.21336
0.721746, 4.20843
0.721333, 4.20351
0.720919, 4.1986
0.720507, 4.19369
0.720094, 4.1888
0.719683, 4.18392
0.719271, 4.17904
0.718861, 4.17417
0.71845, 4.16932
0.71804, 4.16447
0.717631, 4.15963
0.717222, 4.1548
0.716813, 4.14997
0.716405, 4.14516
0.715998, 4.14036
0.715591, 4.13556
0.715184, 4.13078
0.714778, 4.126
0.714372, 4.12123
0.713967, 4.11647
0.713562, 4.11172
0.713158, 4.10698
0.712754, 4.10225
0.71235, 4.09753
0.711947, 4.09281
0.711545, 4.08811
0.711143, 4.08342
0.710741, 4.07873
0.71034, 4.07405
0.709939, 4.06939
0.709539, 4.06473
0.709139, 4.06008
0.70874, 4.05544
0.708341, 4.05081
0.707942, 4.04619
0.707544, 4.04157
0.707147, 4.03697
0.70675, 4.03238
0.706353, 4.02779
0.705957, 4.02322
0.705561, 4.01865
0.705166, 4.01409
