Au (Gold) - Palik

wavelength (microns), Re(index)
0.7828, 0.218636
0.782313, 0.217191
0.781827, 0.215756
0.781342, 0.214332
0.780857, 0.212917
0.780373, 0.211513
0.779889, 0.21012
0.779406, 0.208736
0.778924, 0.207363
0.778442, 0.206
0.777961, 0.204648
0.777481, 0.203306
0.777, 0.201975
0.776521, 0.200654
0.776042, 0.199343
0.775564, 0.198043
0.775086, 0.196754
0.7749, 0.196253
0.774609, 0.195475
0.774133, 0.194207
0.773657, 0.192949
0.773182, 0.191701
0.772707, 0.190464
0.772233, 0.189238
0.771759, 0.188023
0.771286, 0.186818
0.770814, 0.185623
0.770342, 0.18444
0.769871, 0.183267
0.7694, 0.182104
0.76893, 0.180952
0.768461, 0.179811
0.767992, 0.178681
0.767523, 0.177561
0.767055, 0.176452
0.766588, 0.175353
0.766122, 0.174266
0.765656, 0.173189
0.76519, 0.172122
0.764725, 0.171067
0.764261, 0.170022
0.763797, 0.168987
0.763334, 0.167964
0.762871, 0.166951
0.762409, 0.165949
0.761947, 0.164957
0.761486, 0.163976
0.761026, 0.163006
0.760566, 0.162046
0.760106, 0.161098
0.759648, 0.160159
0.759189, 0.159232
0.758732, 0.158315
0.758274, 0.157409
0.757818, 0.156513
0.757362, 0.155628
0.756906, 0.154753
0.756451, 0.15389
0.755997, 0.153036
0.755543, 0.152194
0.75509, 0.151361
0.754637, 0.15054
0.754185, 0.149729
0.753733, 0.148928
0.753282, 0.148138
0.752831, 0.147358
0.752381, 0.146589
0.751932, 0.14583
0.751483, 0.145082
0.751034, 0.144344
0.750586, 0.143616
0.750139, 0.142899
0.749692, 0.142192
0.749246, 0.141496
0.7488, 0.140809
0.748355, 0.140133
0.74791, 0.139467
0.747466, 0.138812
0.747022, 0.138166
0.746579, 0.137531
0.746137, 0.136906
0.745694, 0.136291
0.745253, 0.135686
0.744812, 0.135091
0.744371, 0.134506
0.743931, 0.133931
0.743492, 0.133366
0.743053, 0.132811
0.742614, 0.132265
0.742176, 0.13173
0.741739, 0.131204
0.741302, 0.130688
0.740866, 0.130182
0.74043, 0.129686
0.739994, 0.129199
0.73956, 0.128722
0.739125, 0.128255
0.738691, 0.127797
0.738258, 0.127349
0.737825, 0.12691
0.737393, 0.126481
0.736961, 0.126061
0.73653, 0.12565
0.736099, 0.125249
0.735669, 0.124857
0.735239, 0.124474
0.73481, 0.124101
0.734381, 0.123736
0.733953, 0.123381
0.733525, 0.123035
0.733098, 0.122698
0.732671, 0.12237
0.732245, 0.122051
0.731819, 0.12174
0.731393, 0.121439
0.730969, 0.121146
0.730544, 0.120863
0.730121, 0.120587
0.729697, 0.120321
0.7293, 0.120079
0.729274, 0.120063
0.728852, 0.119814
0.72843, 0.119574
0.728009, 0.119341
0.727588, 0.119118
0.727168, 0.118902
0.726748, 0.118695
0.726328, 0.118497
0.725909, 0.118306
0.725491, 0.118124
0.725073, 0.11795
0.724655, 0.117784
0.724238, 0.117626
0.723822, 0.117476
0.723406, 0.117334
0.72299, 0.1172
0.722575, 0.117074
0.72216, 0.116955
0.721746, 0.116844
0.721333, 0.116741
0.720919, 0.116646
0.720507, 0.116558
0.720094, 0.116478
0.719683, 0.116405
0.719271, 0.11634
0.718861, 0.116282
0.71845, 0.116231
0.71804, 0.116188
0.717631, 0.116152
0.717222, 0.116123
0.716813, 0.116101
0.716405, 0.116086
0.715998, 0.116078
0.715591, 0.116077
0.715184, 0.116083
0.714778, 0.116096
0.714372, 0.116116
0.713967, 0.116142
0.713562, 0.116175
0.713158, 0.116215
0.712754, 0.116261
0.71235, 0.116314
0.711947, 0.116374
